Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2013,11376104,SUBURBAN,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,2007,NY,2,,FORD,HUMAN,Failure to Yield Right-of-Way,HUMAN,Not Applicable,Not Applicable,
2013,10950427,4 DOOR SEDAN,Not Entered,Parked,Not Entered,South,Not Entered,1998,NY,0,,MAZD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1YVGF22D3W5
2013,11245573,TRACTOR,Not Entered,Going Straight Ahead,Not Entered,East,Not Entered,2000,NJ,1,,FRHT,HUMAN,Unsafe Speed,HUMAN,Not Applicable,Not Applicable,IU201417285
2013,11094257,PICKUP TRUCK,Not Entered,Going Straight Ahead,Not Entered,East,Not Entered,2007,MS,1,,CHEV,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,
2013,11202923,4 DOOR SEDAN,Not Entered,Slowing or Stopping,Not Entered,North,Not Entered,2013,IL,2,,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1FADP3F28DL
2013,10944884,DELIVERY TRUCK,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,1988,UN,1,,GRUM,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1GBBS10EXK2
2013,11078782,4 DOOR SEDAN,Not Entered,Slowing or Stopping,Not Entered,East,Not Entered,2012,NJ,1,,CHEV,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,
2012,11143993,TRACTOR,SEMI-TRAILER,Making Right Turn,Not Entered,South,None,2012,NY,1,0,AM/HA,HUMAN,Not Entered,HUMAN,Not Entered,Not Entered,5N6200F20C1
2013,11169688,4 DOOR SEDAN,Not Entered,Making Left Turn,Not Entered,South,Not Entered,2005,NY,4,,TOYT,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,
2013,11161588,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2012,NJ,4,,AUDI,VEHICLE,Other*,HUMAN,Not Applicable,"Other Motor Vehicle, Collision With",WA1CGAFE8CD
2013,11386643,MOTORCYCLE,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2007,NJ,1,,HA/DA,HUMAN,Unknown,HUMAN,Not Entered,Not Applicable,1HD1JL5147Y
2013,11388795,4 DOOR SEDAN,Not Entered,Making Right Turn,Not Entered,Northeast,Not Entered,2010,NY,1,,CHEV,HUMAN,Failure to Yield Right-of-Way,HUMAN,Not Applicable,Not Applicable,
2013,10949728,SUBURBAN,Not Entered,Making Left Turn,Not Entered,South,Not Entered,2013,NJ,1,,FORD,HUMAN,Driver Inattention/Distraction*,HUMAN,Not Applicable,Not Applicable,
2013,11592276,FLAT BED TRUCK,COMMERCIAL,Stopped in Traffic,Not Entered,East,Gas,2008,NY,1,10,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1FDAF56Y38E
2013,11324702,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2011,MA,1,,CHEV,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,2G1WB5EK7B1
2013,11386243,TRACTOR,Not Entered,Going Straight Ahead,Not Entered,East,Not Entered,2009,OK,1,,FRHT,HUMAN,Driver Inattention/Distraction*,HUMAN,Following Too Closely,Not Applicable,1FUJBBCK39L
2013,10809401,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,East,Not Entered,2012,NJ,1,,HYUN,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Entered,5NPDH4AE1CH
